From,To,Time
GIG,MAO,247
GRU,MAO,237
VCP,MAO,232
CNF,MAO,226
GRU,BEL,222
GIG,BEL,220
FOR,MAO,217
GRU,FOR,214
VCP,FOR,213
GRU,SLZ,213
GRU,NAT,211
GIG,SLZ,208
GRU,JPA,204
GIG,FOR,203
VCP,REC,198
GRU,REC,198
CNF,BEL,197
GRU,THE,196
GIG,NAT,196
BSB,MAO,188
GRU,MCZ,186
GIG,REC,182
CNF,FOR,182
SSA,CWB,178
BSB,NAT,176
GRU,AJU,172
BSB,FOR,171
BSB,REC,168
BSB,BEL,166
BSB,POA,165
CNF,REC,165
GIG,CGB,163
BSB,SLZ,160
SSA,CGH,157
SSA,VCP,156
GRU,SSA,155
CNF,POA,149
CNF,CGB,149
GRU,CGB,147
CGH,CGB,147
BSB,FLN,146
BEL,MAO,145
VCP,CGB,142
GRU,IOS,141
SSA,SDU,140
GIG,SSA,139
GIG,CGR,139
GIG,POA,133
POA,SDU,133
GRU,BPS,132
BSB,SSA,131
BSB,CWB,131
SSA,FOR,126
SSA,CNF,123
BSB,VIX,121
BSB,SDU,121
GIG,GYN,121
GRU,CGR,119
BSB,CGH,117
BSB,CGB,117
VCP,POA,117
BSB,CGR,117
GRU,POA,117
GRU,BSB,116
CNF,CWB,115
GRU,IGU,115
CGH,POA,115
GRU,GYN,113
BSB,VCP,112
GIG,FLN,109
GRU,VIX,108
GIG,CWB,104
CWB,SDU,104
SSA,REC,102
BSB,CNF,99
BSB,RAO,98
GRU,MGF,97
CWB,POA,95
GRU,UDI,95
CNF,CGH,94
GRU,FLN,93
VCP,CNF,93
GIG,RAO,93
GRU,CNF,92
GRU,PLU,91
GRU,LDB,91
GIG,VIX,87
VCP,SDU,87
GIG,VCP,86
CNF,SDU,84
GIG,CNF,84
CGH,SDU,84
GRU,CWB,83
GIG,CGH,83
GRU,SDU,82
VCP,CWB,82
GRU,GIG,82
CGH,CWB,81
GRU,RAO,79
BSB,GYN,70